id, time (s), size (bits),,0,0
333,1456077961,1456077961,7344,33.21388006,67074.52301
334,1456077961,1456077961,7432,33.32494998,66912.80731
335,1456077961,1456077961,7512,33.43726993,66880.37386
336,1456077961,1456077961,7584,33.55080009,66801.63286
337,1456077962,1456077962,7648,33.66559005,66626.03433
338,1456077962,1456077962,7712,33.78081989,66927.10553
339,1456077962,1456077962,7760,33.89695001,66821.60001
340,1456077962,1456077962,7808,34.01409006,66655.25315
341,1456077962,1456077962,7840,34.13168001,66672.36411
342,1456077962,1456077962,7864,34.24996996,66480.71257
343,1456077962,1456077962,7880,34.36863995,66402.63657
344,1456077962,1456077962,7888,34.48711991,66576.65588
345,1456077963,1456077963,7888,34.60598993,66358.19533
346,1456077963,1456077963,7880,34.72510004,66157.27389
347,1456077963,1456077963,7864,34.84378004,66262.21756
348,1456077963,1456077963,7840,34.96216989,66221.89603
349,1456077963,1456077963,7800,35.08039999,65973.04499
350,1456077963,1456077963,7760,35.19789004,66048.14442
351,1456077963,1456077963,7712,35.31519008,65745.93174
352,1456077963,1456077963,7648,35.43120003,65925.37931
353,1456077963,1456077963,7584,35.54676008,65628.21396
354,1456077964,1456077964,7512,35.66114998,65670.13554
355,1456077964,1456077964,7432,35.77530003,65107.28796
356,1456077964,1456077964,7344,35.88698006,65759.29417
357,1456077964,1456077964,7248,35.99817991,65179.94064
358,1456077964,1456077964,7152,36.10783005,65225.63787
359,1456077964,1456077964,7048,36.21625996,65000.51583
360,1456077964,1456077964,6936,36.32353997,64653.23424
361,1456077964,1456077964,6824,36.42850995,65009.06362
362,1456077964,1456077964,6704,36.53213,64697.90208
363,1456077965,1456077965,6584,36.6344099,64372.37329
364,1456077965,1456077965,6464,36.73428988,64717.6741
365,1456077965,1456077965,6344,36.83293009,64314.54697
366,1456077965,1456077965,6216,36.92946005,64394.51502
367,1456077965,1456077965,6088,37.02491999,63775.4447
368,1456077965,1456077965,5968,37.11760998,64386.67148
369,1456077965,1456077965,5840,37.2090199,63888.03201
370,1456077965,1456077965,5720,37.29866004,63810.69871
371,1456077965,1456077965,5592,37.38656998,63610.5564
372,1456077965,1456077965,5472,37.47265005,63568.71836
373,1456077965,1456077965,5360,37.55699992,63544.85142
374,1456077966,1456077966,5248,37.63967991,63473.6433
375,1456077966,1456077966,5136,37.72080994,63305.78383
376,1456077966,1456077966,5032,37.80026007,63335.32709
377,1456077966,1456077966,4936,37.87871003,62919.08518
378,1456077966,1456077966,4840,37.95504999,63400.60951
379,1456077966,1456077966,4752,38.03040004,63065.6548
380,1456077966,1456077966,4672,38.10443997,63101.08096
381,1456077966,1456077966,4600,38.1786499,61986.31493
382,1456077966,1456077966,4536,38.24935007,64158.26283
383,1456077966,1456077966,4472,38.3204,62941.65362
384,1456077966,1456077966,4424,38.39032006,63272.25419
385,1456077966,1456077966,4376,38.45981002,62973.12962
386,1456077966,1456077966,4344,38.52842999,63305.18974
387,1456077967,1456077967,4320,38.59671998,63259.63251
388,1456077967,1456077967,4304,38.67762995,53194.92934
389,1456077967,1456077967,4296,38.7778399,42869.99385
390,1456077967,1456077967,4296,38.8778801,42942.73815
391,1456077967,1456077967,4304,38.97819996,42902.77018
392,1456077967,1456077967,4320,39.07817006,43212.91966
393,1456077967,1456077967,4344,39.17827988,43392.34843
394,1456077967,1456077967,4384,39.27835989,43804.95022
395,1456077967,1456077967,4424,39.37871003,44085.63788
396,1456077967,1456077967,4472,39.47755003,45244.84095
397,1456077968,1456077968,4536,39.57768989,45296.64976
398,1456077968,1456077968,4600,39.67788005,45912.69121
399,1456077968,1456077968,4672,39.7778101,46752.70446
400,1456077968,1456077968,4752,39.87787008,47491.51169
401,1456077968,1456077968,4840,39.97793007,48370.98413
402,1456077968,1456077968,4936,40.07808995,49281.20748
403,1456077968,1456077968,5032,40.17818999,50269.70996
404,1456077968,1456077968,5136,40.27846003,51221.68461
405,1456077968,1456077968,5248,40.37856007,52427.55125
406,1456077968,1456077968,5360,40.4776299,54103.25017
407,1456077969,1456077969,5480,40.57779002,54712.39347
408,1456077969,1456077969,5600,40.67785001,55966.42791
409,1456077969,1456077969,5720,40.77801991,57102.9837
410,1456077969,1456077969,5840,40.87796998,58429.17068
411,1456077969,1456077969,5968,40.97819996,59543.06372
