id, time (s), size (bits),,
163,1456077944,7864,16.29943013,79418.29591
164,1456077944,7880,16.40052009,77950.37646
165,1456077944,7888,16.49957013,79636.51101
166,1456077944,7888,16.59968019,78793.28483
167,1456077944,7880,16.6997602,78736.99995
168,1456077945,7864,16.79992008,78514.46832
169,1456077945,7840,16.89994001,78384.37659
170,1456077945,7800,17.00009012,77883.09099
171,1456077945,7760,17.1002202,77499.18814
172,1456077945,7712,17.20032001,77043.10942
173,1456077945,7648,17.30045009,76380.64316
174,1456077945,7584,17.39937019,76667.93171
175,1456077945,7512,17.50040007,74354.24578
176,1456077945,7432,17.60052013,74230.87278
177,1456077945,7344,17.6995101,74189.33938
178,1456077946,7248,17.79949999,72487.32771
179,1456077946,7152,17.89946008,71548.55594
180,1456077946,7048,18.00057006,69706.27324
181,1456077946,6936,18.09972,69954.65486
182,1456077946,6824,18.19970012,68253.57161
183,1456077946,6704,18.2998302,66952.90687
184,1456077946,6584,18.39998007,65741.47331
185,1456077946,6464,18.50018001,64511.01808
186,1456077946,6344,18.60019016,63433.55729
187,1456077946,6216,18.70026016,62116.51863
188,1456077947,6088,18.80037999,60807.13531
189,1456077947,5968,18.90044022,59644.07963
190,1456077947,5840,18.99938011,59025.73439
191,1456077947,5712,19.1003902,56548.80944
192,1456077947,5592,19.20047021,55875.29235
193,1456077947,5472,19.29965019,55172.42317
194,1456077947,5360,19.3998301,53503.74107
195,1456077947,5248,19.5,52390.98924
196,1456077947,5136,19.60008001,51318.93804
197,1456077947,5032,19.70010018,50309.8524
198,1456077948,4936,19.80012012,49350.16363
199,1456077948,4840,19.90017009,48375.82537
200,1456077948,4752,20.00018001,47515.28733
201,1456077948,4672,20.10019016,46715.2553
202,1456077948,4600,20.20052004,45848.75598
203,1456077948,4536,20.29955006,45804.29347
204,1456077948,4472,20.39952016,44733.37425
205,1456077948,4424,20.49965,44182.63205
206,1456077948,4376,20.5996201,43773.08714
207,1456077948,4344,20.69952011,43483.48033
208,1456077949,4320,20.79947019,43221.57831
209,1456077949,4304,20.89942002,43061.60111
210,1456077949,4296,20.99949002,42929.94917
211,1456077949,4296,21.0994401,42981.45843
212,1456077949,4304,21.19942999,43044.35133
213,1456077949,4320,21.2995801,43135.25039
214,1456077949,4344,21.39976001,43361.98716
215,1456077949,4384,21.49998021,43743.67494
216,1456077949,4424,21.60016012,44160.55046
217,1456077949,4472,21.70032001,44648.61423
218,1456077950,4536,21.80041003,45319.20055
219,1456077950,4600,21.89951015,46417.70695
220,1456077950,4672,21.99953008,46710.68972
221,1456077950,4752,22.09970999,47434.65999
222,1456077950,4840,22.1999402,48288.83091
223,1456077950,4936,22.3001802,49241.82349
224,1456077950,5032,22.40034008,50239.67505
225,1456077950,5136,22.50044012,51308.67058
226,1456077950,5248,22.59938002,53042.30378
227,1456077950,5360,22.70062017,52943.41792
228,1456077951,5480,22.79984999,55225.33859
229,1456077951,5600,22.90003014,55899.29793
230,1456077951,5720,23.00026011,57068.7541
231,1456077951,5840,23.10046005,58283.4693
232,1456077951,5968,23.19952011,60246.27973
233,1456077951,6096,23.29967999,60862.6906
234,1456077951,6216,23.39986014,62048.2207
235,1456077951,6344,23.50005007,63319.74046
236,1456077951,6464,23.60028005,64491.68296
237,1456077951,6592,23.70049,65781.89
238,1456077952,6712,23.79967999,67668.11394
239,1456077952,6824,23.89978004,68171.80063
240,1456077952,6936,23.99996018,69235.27329
241,1456077952,7048,24.10011005,70374.52975
242,1456077952,7152,24.20024014,71427.0868
243,1456077952,7248,24.30044007,72335.37423
244,1456077952,7344,24.39960003,74062.1547
245,1456077952,7432,24.49977016,74193.77006
246,1456077952,7512,24.59992003,75007.58619
247,1456077952,7584,24.70002007,75764.20516
248,1456077953,7648,24.80007005,76441.8001
249,1456077953,7712,24.90009999,77096.91304
250,1456077953,7760,25.00004005,77646.54012
251,1456077953,7808,25.10000014,78111.17516
252,1456077953,7840,25.2001102,78313.8125
253,1456077953,7864,25.30028009,78506.61955
254,1456077953,7880,25.40037012,78729.12265
255,1456077953,7888,25.50042009,78840.60135
256,1456077953,7888,25.6003902,78903.59035
257,1456077953,7880,25.70043015,78768.52492
258,1456077954,7864,25.80047011,78608.58883
259,1456077954,7840,25.8994,79248.04758
260,1456077954,7800,26.00040007,77227.66881
261,1456077954,7760,26.09943008,78360.07877
262,1456077954,7712,26.20056009,76258.27486
263,1456077954,7648,26.29972005,77127.90838
264,1456077954,7584,26.39979005,75786.94937
265,1456077954,7512,26.49992013,75022.40997
266,1456077954,7432,26.60003018,74238.29777
267,1456077954,7344,26.70005012,73425.36501
268,1456077955,7248,26.80007005,72465.55632
269,1456077955,7152,26.90022016,71412.80343
270,1456077955,7048,27.00030017,70423.65173
271,1456077955,6936,27.10045004,69256.20578
272,1456077955,6824,27.19939017,68971.00015
273,1456077955,6704,27.30040002,66369.76773
274,1456077955,6584,27.40044022,65813.54468
275,1456077955,6464,27.50043011,64646.53508
276,1456077955,6344,27.60052013,63382.93833
277,1456077955,6216,27.69953012,62781.54312
278,1456077956,6088,27.79973006,60758.52074
279,1456077956,5968,27.89982009,59626.3203
280,1456077956,5840,27.99995017,58324.13128
281,1456077956,5720,28.1000402,57148.55096
282,1456077956,5592,28.20012999,55869.83535
283,1456077956,5472,28.30022001,54670.78161
284,1456077956,5360,28.40033007,53541.0759
285,1456077956,5248,28.50040007,52443.28986
286,1456077956,5136,28.6005702,51272.76682
287,1456077956,5032,28.69962001,50802.72413
288,1456077957,4936,28.79975009,49295.87535
289,1456077957,4840,28.89979005,48380.66759
290,1456077957,4752,28.99981999,47505.77422
291,1456077957,4672,29.09980011,46729.2917
292,1456077957,4600,29.19990015,45954.02739
293,1456077957,4536,29.30002999,45301.1797
294,1456077957,4472,29.40022016,44635.12067
295,1456077957,4424,29.49954009,44542.92088
296,1456077957,4376,29.59941006,43816.97675
297,1456077957,4344,29.70044017,42997.08219
298,1456077958,4320,29.79938006,43662.87201
299,1456077958,4304,29.90041018,42601.16062
300,1456077958,4296,29.99945021,43376.3998
301,1456077958,4296,30.09939003,42985.86754
302,1456077958,4304,30.20044017,42592.71749
303,1456077958,4320,30.29961014,43561.57433
304,1456077958,4344,30.39991999,43305.81745
305,1456077958,4384,30.50011015,43756.79092
306,1456077958,4424,30.60021019,44195.78634
307,1456077958,4472,30.70037007,44648.61423
308,1456077959,4536,30.79935002,45827.46306
309,1456077959,4600,30.90044022,45503.91955
310,1456077959,4672,30.99940014,47211.03118
311,1456077959,4752,31.10048008,47012.29505
312,1456077959,4840,31.19981003,48726.49263
313,1456077959,4936,31.30004001,49246.74305
314,1456077959,5032,31.40012002,50279.76951
315,1456077959,5136,31.50020003,51318.93804
316,1456077959,5248,31.60027003,52443.28986
317,1456077959,5360,31.70036006,53551.78901
318,1456077960,5480,31.79933,55370.34983
319,1456077960,5600,31.90041018,55401.56382
320,1456077960,5720,31.99959016,57672.92773
321,1456077960,5840,32.09976006,58300.94839
322,1456077960,5968,32.19988012,59608.42959
323,1456077960,6096,32.29998016,60899.0763
324,1456077960,6216,32.40006018,62110.30351
325,1456077960,6344,32.50014019,63389.28016
326,1456077960,6464,32.60027003,64556.17848
327,1456077960,6592,32.70053005,65749.03981
328,1456077961,6712,32.79979014,67620.32837
329,1456077961,6824,32.89991999,68151.5102
330,1456077961,6936,33.00002003,69290.6813
331,1456077961,7048,33.10011005,70416.60614
332,1456077961,7152,33.20020008,71455.67071
333,1456077961,7248,33.30031013,72400.32054
334,1456077961,7344,33.40042019,73359.26518
335,1456077961,7432,33.49942017,75070.72443
336,1456077961,7512,33.60044003,74361.61613
337,1456077961,7584,33.69959998,76482.48656
338,1456077962,7648,33.79972005,76388.28243
339,1456077962,7712,33.89976001,77089.19596
340,1456077962,7760,33.99983001,77545.71823
341,1456077962,7808,34.09978008,78119.00079
342,1456077962,7840,34.19981003,78376.52986
343,1456077962,7864,34.30004001,78459.55983
344,1456077962,7880,34.40026021,78626.86098
345,1456077962,7888,34.50051022,78683.28728
346,1456077962,7888,34.59946012,79717.10195
347,1456077962,7880,34.70047998,78004.46421
348,1456077963,7864,34.79939008,79506.54718
349,1456077963,7840,34.90036011,77646.80285
350,1456077963,7800,35.00039005,77976.6496
351,1456077963,7760,35.10036016,77623.20755
352,1456077963,7712,35.20036006,77120.07355
353,1456077963,7648,35.30039001,76457.10463
354,1456077963,7584,35.39949012,76528.67163
355,1456077963,7512,35.49949002,75120.07164
356,1456077963,7432,35.59945011,74349.6739
357,1456077963,7344,35.70049,72684.16718
358,1456077964,7248,35.79944015,73249.00643
359,1456077964,7152,35.90044022,70811.83171
360,1456077964,7048,36.00041008,70501.24633
361,1456077964,6936,36.10042,69353.12141
362,1456077964,6824,36.20060015,68117.28733
363,1456077964,6704,36.29972005,67635.25677
364,1456077964,6584,36.39972019,65839.90582
365,1456077964,6464,36.49973011,64633.5895
366,1456077964,6344,36.59972,63446.41376
367,1456077964,6216,36.6997602,62135.02335
368,1456077965,6088,36.79980016,60855.68271
369,1456077965,5968,36.89978004,59692.01154
370,1456077965,5840,36.99988008,58341.63477
371,1456077965,5720,37.1000402,57108.55668
372,1456077965,5592,37.20006013,55908.85636
373,1456077965,5472,37.30002999,54736.49545
374,1456077965,5360,37.40004015,53594.5566
375,1456077965,5248,37.50008011,52459.03792
376,1456077965,5136,37.60017014,51313.8038
377,1456077965,5032,37.70032001,50244.69831
378,1456077966,4936,37.80041003,49315.60271
379,1456077966,4840,37.90055013,48332.289
380,1456077966,4752,37.99949002,48029.15922
381,1456077966,4672,38.09950018,46715.2553
382,1456077966,4600,38.19946003,46018.47627
383,1456077966,4536,38.29939008,45391.75244
384,1456077966,4472,38.40040016,44272.80739
385,1456077966,4424,38.49966002,44569.88249
386,1456077966,4376,38.59964013,43768.70302
387,1456077966,4344,38.69953012,43487.83938
388,1456077967,4320,38.79966021,43143.87794
389,1456077967,4304,38.89973021,43009.89321
390,1456077967,4296,38.99986005,42904.29188
391,1456077967,4296,39.09991002,42938.54252
392,1456077967,4304,39.2000401,42984.0858
393,1456077967,4320,39.30019021,43135.25039
394,1456077967,4344,39.40029001,43396.68923
395,1456077967,4384,39.50037003,43804.95022
396,1456077967,4424,39.60053015,44169.27531
397,1456077967,4472,39.69954014,45167.15908
398,1456077968,4536,39.79967022,45301.07183
399,1456077968,4600,39.89980006,45940.34978
400,1456077968,4672,39.99984002,46701.33863
401,1456077968,4752,40.09991002,47486.75941
402,1456077968,4840,40.19993019,48390.23959
403,1456077968,4936,40.30002022,49315.60271
404,1456077968,5032,40.40006018,50299.90069
405,1456077968,5136,40.50028014,51247.27394
406,1456077968,5248,40.60045004,52390.98924
407,1456077968,5360,40.69955015,54086.7194
408,1456077969,5480,40.79973006,54701.58602
409,1456077969,5600,40.89981008,55955.22839
410,1456077969,5720,40.9999001,57148.55096
411,1456077969,5840,41.0999701,58359.14877
412,1456077969,5968,41.20010018,59602.46841
413,1456077969,6096,41.30039001,60783.8353
414,1456077969,6216,41.39937019,62800.44625
415,1456077969,6344,41.49936008,63446.41376
416,1456077969,6472,41.60040021,64053.76089
417,1456077969,6592,41.70047021,65873.88848
418,1456077970,6712,41.79947019,67797.99547
419,1456077970,6824,41.89938021,68301.45709
420,1456077970,6936,42.00038004,68673.38145
421,1456077970,7048,42.10049009,70402.5192
422,1456077970,7152,42.19938016,72322.73451
423,1456077970,7248,42.30041003,71741.15727
424,1456077970,7344,42.40042019,73432.54173
425,1456077970,7432,42.50041008,74327.51373
426,1456077970,7512,42.60047007,75074.96545
427,1456077970,7584,42.69956017,76536.40526
428,1456077971,7648,42.79964018,76418.85477
429,1456077971,7712,42.89969015,77081.48043
430,1456077971,7760,42.99992013,77421.94612
431,1456077971,7808,43.09999013,78025.38247
432,1456077971,7840,43.19999003,78400.07477
433,1456077971,7864,43.30007005,78577.12787
434,1456077971,7880,43.40017009,78721.24692
435,1456077971,7888,43.5002501,78816.93599
436,1456077971,7888,43.60023022,78895.6877
437,1456077971,7880,43.70024014,78792.18522
438,1456077972,7864,43.80035019,78553.54866
439,1456077972,7840,43.90047002,78306.16636
440,1456077972,7800,44.00045013,78015.51269
441,1456077972,7760,44.10043001,77615.61822
442,1456077972,7712,44.20051003,77058.3431
443,1456077972,7648,44.2994802,77275.80573
